횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
23040,126.97333207568764,37.55442692511792,봉래동2가,2.0,,50.0,8.0,26875.559786532827,중림동,0.1901991313611407,True,7.0,14.0,15.75,6.701991313611407
9494,127.02194057271991,37.56537909712678,신당동,2.0,,50.0,7.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,6.298197792295562
6122,126.97831673160552,37.55882879568618,남창동,3.0,104.0,50.0,3.0,26875.559786532827,회현동,0.2946596858638743,False,10.5,17.5,20.125,5.546596858638744
6213,126.97675373178105,37.55607653713164,남창동,1.0,104.0,50.0,4.0,26875.559786532827,회현동,0.2946596858638743,False,3.5,10.5,11.375,5.446596858638744
71666,127.00612715243489,37.5616890539837,장충동1가,3.0,104.0,50.0,5.0,26875.559786532827,장충동,0.1781831582826607,False,10.5,17.5,20.125,5.3818315828266075
125895,127.01132222274045,37.55370168943821,신당동,2.0,104.0,60.0,5.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,5.338197792295562
8430,127.01065986201122,37.55524536754036,신당동,2.0,104.0,50.0,5.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,5.298197792295562
9628,126.96296755148786,37.5520955451973,만리동2가,2.0,104.0,50.0,5.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,5.201991313611407
8340,127.0082210964322,37.558237820098846,장충동1가,4.0,104.0,50.0,4.0,26875.559786532827,장충동,0.1781831582826607,False,14.0,21.0,24.5,5.181831582826607
6511,126.986138528362,37.56082505066927,충무로2가,3.0,104.0,50.0,3.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,4.957627618766598
6428,126.98061026488972,37.5552258988191,회현동1가,4.0,104.0,40.0,1.0,26875.559786532827,회현동,0.2946596858638743,False,14.0,21.0,24.5,4.806596858638743
5831,126.973895436237,37.55870203163978,남대문로5가,4.0,104.0,50.0,3.0,26875.559786532827,중림동,0.1901991313611407,False,14.0,21.0,24.5,4.801991313611407
