횡단보도ID,seed,veh_per_hour,ped_lambda,elderly_ratio,ped_count
23040,42,915.395991994981,487.0,0.1901991313611407,234
23040,43,1009.0334919949811,426.0,0.1901991313611407,219
9494,42,915.395991994981,487.0,0.1998197792295562,234
9494,43,1009.0334919949811,426.0,0.1998197792295562,219
6122,42,610.2639946633208,487.0,0.2946596858638743,234
6122,43,672.6889946633207,426.0,0.2946596858638743,219
6213,42,1830.791983989962,487.0,0.2946596858638743,234
6213,43,2018.0669839899622,426.0,0.2946596858638743,219
71666,42,610.2639946633208,487.0,0.1781831582826607,234
71666,43,672.6889946633207,426.0,0.1781831582826607,219
125895,42,915.395991994981,487.0,0.1998197792295562,234
125895,43,1009.0334919949811,426.0,0.1998197792295562,219
8430,42,915.395991994981,487.0,0.1998197792295562,234
8430,43,1009.0334919949811,426.0,0.1998197792295562,219
9628,42,915.395991994981,487.0,0.1901991313611407,234
9628,43,1009.0334919949811,426.0,0.1901991313611407,219
