횡단보도ID,행정동,읍면동명,노인비율,baseline_PET_B_고위험,smart_PET_B_고위험,PET_B_고위험_감소율_pct,baseline_고령자미완료,smart_고령자미완료,고령자미완료_감소율_pct,baseline_차량평균지체_sec,smart_차량평균지체_sec,차량평균지체_증가_sec,baseline_최대대기행렬,smart_최대대기행렬,최대대기행렬_증가
9494,신당동,신당동,0.1998197792295562,123.58333333333331,43.583333333333336,64.73364801078893,36.083333333333336,13.333333333333334,63.04849884526559,43.52117656467072,44.39770814266037,0.8765315779896525,2.25,2.4166666666666665,0.16666666666666652
8430,신당동,신당동,0.1998197792295562,449.0,310.8333333333333,30.772086117297704,102.91666666666669,70.58333333333333,31.417004048583014,14.79937202575001,14.46601143518639,-0.3333605905636201,6.0,6.0,0.0
71666,장충동,장충동1가,0.1781831582826607,334.9166666666667,312.4166666666667,6.718089076884796,61.25,56.0,8.571428571428571,78.38475845702682,77.23135152568254,-1.1534069313442785,13.166666666666666,13.0,-0.16666666666666607
23040,중림동,봉래동2가,0.1901991313611407,0.0,0.0,,0.0,0.0,,81.48545474992729,81.48545474992729,0.0,3.0,3.0,0.0
6122,회현동,남창동,0.2946596858638743,0.0,0.0,,0.0,0.0,,11.426481566467968,11.426481566467968,0.0,2.9166666666666665,2.9166666666666665,0.0
6213,회현동,남창동,0.2946596858638743,0.0,0.0,,0.0,0.0,,73.28055165993533,73.28055165993533,0.0,1.0,1.0,0.0
125895,신당동,신당동,0.1998197792295562,0.0,0.0,,0.0,0.0,,4.642456083351957,4.642456083351957,0.0,1.0,1.0,0.0
9628,중림동,만리동2가,0.1901991313611407,0.0,0.0,,0.0,0.0,,3.774605674648323,3.774605674648323,0.0,4.25,4.25,0.0
8340,장충동,장충동1가,0.1781831582826607,0.0,0.0,,0.0,0.0,,0.9440348495491518,0.9440348495491518,0.0,1.0,1.0,0.0
6511,명동,충무로2가,0.2357627618766598,0.0,0.0,,0.0,0.0,,29.606288852653595,29.606288852653595,0.0,4.5,4.5,0.0
6428,회현동,회현동1가,0.2946596858638743,0.0,0.0,,0.0,0.0,,1.6101448825111455,1.6101448825111455,0.0,1.0,1.0,0.0
5831,중림동,남대문로5가,0.1901991313611407,0.0,0.0,,0.0,0.0,,76.29482387480346,76.29482387480346,0.0,2.8333333333333335,2.8333333333333335,0.0
