횡단보도ID,seed,demand_profile,veh_per_hour,ped_lambda,elderly_ratio,ped_count
9494,42,seoul_commute_peak,1830.791983989962,999.0,0.1998197792295562,329
9494,43,seoul_commute_peak,2018.0669839899622,944.0,0.1998197792295562,321
9494,44,seoul_commute_peak,2090.741983989962,705.0,0.1998197792295562,235
71666,42,seoul_commute_peak,1220.5279893266415,999.0,0.1781831582826607,329
71666,43,seoul_commute_peak,1345.3779893266415,944.0,0.1781831582826607,321
71666,44,seoul_commute_peak,1393.8279893266415,705.0,0.1781831582826607,235
8430,42,seoul_commute_peak,1830.791983989962,999.0,0.1998197792295562,329
8430,43,seoul_commute_peak,2018.0669839899622,944.0,0.1998197792295562,321
8430,44,seoul_commute_peak,2090.741983989962,705.0,0.1998197792295562,235
