scenario,scenario_key,seed,edge_id,volume
S1,baseline,42,N1_N2,430
S1,baseline,42,N3_N4,352
S1,baseline,42,N2_N3,344
S1,baseline,42,N5_N6,100
S1,baseline,42,N4_N3,100
S1,baseline,42,N6_N7,95
S1,baseline,42,N2_N6,55
S1,baseline,42,N3_N2,99
S1,baseline,42,N7_N8,94
S1,baseline,42,N2_N1,92
S1,baseline,42,N6_N10,38
S1,baseline,42,N10_N9,38
S2,smart_single,42,N1_N2,429
S2,smart_single,42,N2_N3,353
S2,smart_single,42,N3_N4,353
S2,smart_single,42,N5_N6,100
S2,smart_single,42,N4_N3,100
S2,smart_single,42,N6_N7,95
S2,smart_single,42,N3_N2,99
S2,smart_single,42,N2_N1,92
S2,smart_single,42,N7_N8,94
S2,smart_single,42,N2_N6,57
S2,smart_single,42,N6_N10,40
S2,smart_single,42,N10_N9,40
S3,smart_multi,42,N1_N2,434
S3,smart_multi,42,N2_N3,353
S3,smart_multi,42,N3_N4,349
S3,smart_multi,42,N5_N6,100
S3,smart_multi,42,N4_N3,100
S3,smart_multi,42,N3_N2,96
S3,smart_multi,42,N2_N1,93
S3,smart_multi,42,N6_N7,97
S3,smart_multi,42,N7_N8,91
S3,smart_multi,42,N2_N6,65
S3,smart_multi,42,N6_N10,48
S3,smart_multi,42,N10_N9,48
S1,baseline,43,N1_N2,433
S1,baseline,43,N3_N4,352
S1,baseline,43,N2_N3,345
S1,baseline,43,N5_N6,100
S1,baseline,43,N4_N3,100
S1,baseline,43,N6_N7,95
S1,baseline,43,N2_N6,58
S1,baseline,43,N6_N10,41
S1,baseline,43,N3_N2,99
S1,baseline,43,N7_N8,93
S1,baseline,43,N10_N9,41
S1,baseline,43,N2_N1,92
S2,smart_single,43,N1_N2,435
S2,smart_single,43,N2_N3,351
S2,smart_single,43,N3_N4,350
S2,smart_single,43,N5_N6,100
S2,smart_single,43,N4_N3,100
S2,smart_single,43,N6_N7,95
S2,smart_single,43,N3_N2,99
S2,smart_single,43,N2_N1,92
S2,smart_single,43,N7_N8,94
S2,smart_single,43,N2_N6,61
S2,smart_single,43,N6_N10,44
S2,smart_single,43,N10_N9,44
S3,smart_multi,43,N1_N2,437
S3,smart_multi,43,N2_N3,351
S3,smart_multi,43,N3_N4,345
S3,smart_multi,43,N5_N6,100
S3,smart_multi,43,N4_N3,100
S3,smart_multi,43,N6_N7,95
S3,smart_multi,43,N7_N8,93
S3,smart_multi,43,N2_N6,63
S3,smart_multi,43,N3_N2,94
S3,smart_multi,43,N6_N10,46
S3,smart_multi,43,N2_N1,94
S3,smart_multi,43,N10_N9,46
S1,baseline,44,N1_N2,440
S1,baseline,44,N3_N4,353
S1,baseline,44,N2_N3,345
S1,baseline,44,N5_N6,100
S1,baseline,44,N4_N3,100
S1,baseline,44,N6_N7,95
S1,baseline,44,N2_N6,65
S1,baseline,44,N6_N10,48
S1,baseline,44,N3_N2,99
S1,baseline,44,N7_N8,94
S1,baseline,44,N10_N9,48
S1,baseline,44,N2_N1,92
S2,smart_single,44,N1_N2,436
S2,smart_single,44,N2_N3,354
S2,smart_single,44,N3_N4,352
S2,smart_single,44,N5_N6,100
S2,smart_single,44,N4_N3,100
S2,smart_single,44,N6_N7,95
S2,smart_single,44,N3_N2,99
S2,smart_single,44,N2_N1,92
S2,smart_single,44,N7_N8,94
S2,smart_single,44,N2_N6,65
S2,smart_single,44,N6_N10,48
S2,smart_single,44,N10_N9,48
S3,smart_multi,44,N1_N2,439
S3,smart_multi,44,N2_N3,350
S3,smart_multi,44,N3_N4,350
S3,smart_multi,44,N5_N6,100
S3,smart_multi,44,N4_N3,100
S3,smart_multi,44,N3_N2,96
S3,smart_multi,44,N2_N1,88
S3,smart_multi,44,N6_N7,95
S3,smart_multi,44,N7_N8,94
S3,smart_multi,44,N2_N6,66
S3,smart_multi,44,N6_N10,49
S3,smart_multi,44,N10_N9,49
S1,baseline,45,N1_N2,436
S1,baseline,45,N2_N3,344
S1,baseline,45,N3_N4,352
S1,baseline,45,N5_N6,100
S1,baseline,45,N4_N3,100
S1,baseline,45,N6_N7,95
S1,baseline,45,N2_N6,61
S1,baseline,45,N6_N10,44
S1,baseline,45,N3_N2,99
S1,baseline,45,N7_N8,94
S1,baseline,45,N10_N9,44
S1,baseline,45,N2_N1,92
S2,smart_single,45,N1_N2,431
S2,smart_single,45,N2_N3,353
S2,smart_single,45,N3_N4,352
S2,smart_single,45,N5_N6,100
S2,smart_single,45,N4_N3,100
S2,smart_single,45,N6_N7,95
S2,smart_single,45,N3_N2,99
S2,smart_single,45,N2_N1,92
S2,smart_single,45,N7_N8,94
S2,smart_single,45,N2_N6,60
S2,smart_single,45,N6_N10,43
S2,smart_single,45,N10_N9,43
S3,smart_multi,45,N1_N2,439
S3,smart_multi,45,N2_N3,354
S3,smart_multi,45,N3_N4,348
S3,smart_multi,45,N5_N6,100
S3,smart_multi,45,N4_N3,100
S3,smart_multi,45,N3_N2,99
S3,smart_multi,45,N2_N6,66
S3,smart_multi,45,N6_N7,96
S3,smart_multi,45,N6_N10,49
S3,smart_multi,45,N7_N8,92
S3,smart_multi,45,N2_N1,97
S3,smart_multi,45,N10_N9,49
S1,baseline,46,N1_N2,436
S1,baseline,46,N2_N3,344
S1,baseline,46,N3_N4,352
S1,baseline,46,N5_N6,100
S1,baseline,46,N4_N3,100
S1,baseline,46,N6_N7,95
S1,baseline,46,N2_N6,61
S1,baseline,46,N3_N2,99
S1,baseline,46,N6_N10,44
S1,baseline,46,N7_N8,93
S1,baseline,46,N10_N9,44
S1,baseline,46,N2_N1,92
S2,smart_single,46,N1_N2,433
S2,smart_single,46,N2_N3,354
S2,smart_single,46,N3_N4,354
S2,smart_single,46,N5_N6,100
S2,smart_single,46,N4_N3,100
S2,smart_single,46,N6_N7,95
S2,smart_single,46,N3_N2,99
S2,smart_single,46,N2_N1,92
S2,smart_single,46,N7_N8,93
S2,smart_single,46,N2_N6,60
S2,smart_single,46,N6_N10,43
S2,smart_single,46,N10_N9,43
S3,smart_multi,46,N1_N2,437
S3,smart_multi,46,N2_N3,354
S3,smart_multi,46,N3_N4,348
S3,smart_multi,46,N5_N6,100
S3,smart_multi,46,N4_N3,100
S3,smart_multi,46,N3_N2,97
S3,smart_multi,46,N2_N1,97
S3,smart_multi,46,N6_N7,96
S3,smart_multi,46,N7_N8,91
S3,smart_multi,46,N2_N6,64
S3,smart_multi,46,N6_N10,49
S3,smart_multi,46,N10_N9,49
